atom_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2020-03-30T00:00:00.0000000Z,1.85,2.0352,1.8482,1.9742,10854.60387809,345
2020-03-31T00:00:00.0000000Z,1.967,1.986,1.9395,1.9633,4362.94241503,122
2020-04-01T00:00:00.0000000Z,1.9496,1.9891,1.8972,1.983,7974.61251158,227
2020-04-02T00:00:00.0000000Z,1.9903,2.1112,1.962,1.9745,34652.27782646,249
2020-04-03T00:00:00.0000000Z,1.991,2.059,1.96,1.9827,31950.69510747,235
2020-04-04T00:00:00.0000000Z,1.9677,2.0549,1.9677,2.0127,10369.06514211,197
2020-04-05T00:00:00.0000000Z,2.034,2.0914,2.0189,2.0646,27530.47420755,179
2020-04-06T00:00:00.0000000Z,2.0799,2.4154,2.0794,2.4119,95490.25712044,496
2020-04-07T00:00:00.0000000Z,2.4131,2.4942,2.3022,2.3424,43389.41295491,582
2020-04-08T00:00:00.0000000Z,2.3424,2.49,2.3165,2.49,50331.6841387,430
2020-04-09T00:00:00.0000000Z,2.4896,2.6249,2.3903,2.5921,84592.09136631,408
2020-04-10T00:00:00.0000000Z,2.5536,2.5904,2.2,2.306,89669.91635079,552
2020-04-11T00:00:00.0000000Z,2.31,2.381,2.2464,2.3041,13220.03161603,195
2020-04-12T00:00:00.0000000Z,2.31,2.4053,2.2592,2.33,14656.08838224,220
2020-04-13T00:00:00.0000000Z,2.3,2.3,2.1649,2.2631,16714.48578762,150
2020-04-14T00:00:00.0000000Z,2.27,2.4496,2.2334,2.3636,34951.90131316,344
2020-04-15T00:00:00.0000000Z,2.35,2.4262,2.279,2.2797,18396.72204844,203
2020-04-16T00:00:00.0000000Z,2.2729,2.45,2.1961,2.4225,18742.13231489,267
2020-04-17T00:00:00.0000000Z,2.4073,2.4323,2.3588,2.3798,4365.27929602,90
2020-04-19T00:00:00.0000000Z,2.501,2.54,2.3883,2.3891,14650.16075854,234
2020-04-20T00:00:00.0000000Z,2.38,2.4311,2.2635,2.2787,27155.8217835,338
2020-04-21T00:00:00.0000000Z,2.2732,2.3113,2.2585,2.2768,6265.35687228,92
2020-04-22T00:00:00.0000000Z,2.2673,2.4203,2.2673,2.3895,81258.33885013,1046
2020-04-23T00:00:00.0000000Z,2.397,2.4962,2.34,2.43,89481.15987946,758
2020-04-24T00:00:00.0000000Z,2.4328,2.8078,2.4327,2.7538,115794.97119527,865
2020-04-25T00:00:00.0000000Z,2.7538,2.956,2.6905,2.8635,71474.73961008,508
2020-04-26T00:00:00.0000000Z,2.89,2.8925,2.77,2.797,27248.77185324,295
2020-04-27T00:00:00.0000000Z,2.8104,2.8257,2.6573,2.768,42624.24257931,463
2020-04-28T00:00:00.0000000Z,2.7402,2.8511,2.7195,2.8071,17337.47762221,319
2020-04-29T00:00:00.0000000Z,2.8028,2.99,2.7967,2.9352,71752.39018819,680
2020-04-30T00:00:00.0000000Z,2.9293,3.062,2.7087,2.7393,105386.74329071,653
2020-05-01T00:00:00.0000000Z,2.7327,2.9168,2.7327,2.8441,25030.76848609,197
2020-05-02T00:00:00.0000000Z,2.8325,2.8951,2.8,2.8674,12905.55707036,142
2020-05-03T00:00:00.0000000Z,2.8754,2.8987,2.7498,2.7703,17649.61338566,121
2020-05-04T00:00:00.0000000Z,2.7978,2.8021,2.584,2.7784,25005.42018826,395
2020-05-05T00:00:00.0000000Z,2.7677,2.7838,2.676,2.7023,56235.25570312,301
2020-05-06T00:00:00.0000000Z,2.7142,2.7666,2.6307,2.6307,35077.21973836,357
2020-05-07T00:00:00.0000000Z,2.6322,2.79,2.6177,2.74,45903.74791267,340
2020-05-08T00:00:00.0000000Z,2.7408,2.8541,2.6907,2.8485,31598.5848368,439
2020-05-09T00:00:00.0000000Z,2.8113,2.8538,2.7233,2.766,15269.66354178,261
2020-05-10T00:00:00.0000000Z,2.75,2.75,2.3514,2.4949,36041.47126226,572
2020-05-11T00:00:00.0000000Z,2.5266,2.5266,2.2959,2.3943,44162.09476022,376
2020-05-12T00:00:00.0000000Z,2.4072,2.5262,2.4061,2.491,102796.59831877,360
2020-05-13T00:00:00.0000000Z,2.486,2.5704,2.4604,2.5392,14061.45953648,142
