aave_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-09-20T00:00:00.0000000Z,340.77,340.77,287.58,289.91,20517.68958439,2564
2021-09-21T00:00:00.0000000Z,290.24,306.3,260.36,271.01,7579.94009504,1871
2021-09-22T00:00:00.0000000Z,271.9,303.04,266.37,301.73,13598.06085941,1642
2021-09-23T00:00:00.0000000Z,300.0,309.03,295.0,309.03,3790.22770405,840
2021-09-24T00:00:00.0000000Z,309.03,310.79,262.04,280.95,8698.45937234,1977
2021-09-25T00:00:00.0000000Z,281.21,283.83,268.51,275.71,4944.52855467,1126
2021-09-26T00:00:00.0000000Z,274.2,300.25,252.41,293.66,4684.10447099,2389
2021-09-27T00:00:00.0000000Z,293.64,309.13,273.35,274.07,2972.52003088,1779
2021-09-28T00:00:00.0000000Z,273.21,277.4,260.0,260.48,4175.75408669,1616
2021-09-29T00:00:00.0000000Z,261.37,277.31,259.61,264.98,3509.18983334,1140
2021-09-30T00:00:00.0000000Z,264.98,281.25,264.98,275.87,3639.72644584,1241
