ethc_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-07-04T00:00:00.0000000Z,56.857,58.917,56.133,56.381,25040.30510068,1047
2021-07-05T00:00:00.0000000Z,56.378,56.909,53.0,53.771,23903.0260958,832
2021-07-06T00:00:00.0000000Z,54.187,56.854,53.673,54.808,10839.6945449,639
2021-07-07T00:00:00.0000000Z,54.864,55.639,52.621,52.666,16462.48432677,760
2021-07-08T00:00:00.0000000Z,52.706,52.846,48.739,49.68,33467.37185502,934
2021-07-09T00:00:00.0000000Z,49.398,51.936,46.495,50.676,55617.00465155,1372
2021-07-10T00:00:00.0000000Z,50.375,51.4,48.302,49.325,10477.86745933,550
2021-07-11T00:00:00.0000000Z,49.247,52.521,48.582,50.1,23474.06428491,642
2021-07-12T00:00:00.0000000Z,49.84,50.82,47.24,48.399,24832.40824862,1186
2021-07-13T00:00:00.0000000Z,48.213,48.746,45.639,46.021,25683.65448035,1383
2021-07-14T00:00:00.0000000Z,46.033,47.774,42.872,45.62,23630.79592665,1020
2021-07-15T00:00:00.0000000Z,45.715,47.142,42.385,43.101,12793.24078111,682
2021-07-16T00:00:00.0000000Z,43.529,43.92,40.805,41.443,12460.86316581,824
2021-07-17T00:00:00.0000000Z,41.511,43.292,40.5,41.7,13757.29230299,610
2021-07-18T00:00:00.0000000Z,41.7,43.292,41.239,42.099,13378.48620648,641
2021-07-19T00:00:00.0000000Z,41.974,43.899,40.675,41.612,28903.76986794,1168
2021-07-20T00:00:00.0000000Z,41.641,42.147,37.835,39.46,26878.84287337,1235
2021-07-21T00:00:00.0000000Z,39.408,44.078,38.901,42.964,25322.39723757,1236
2021-07-22T00:00:00.0000000Z,43.009,44.307,42.17,43.352,40655.38570738,1113
2021-07-23T00:00:00.0000000Z,43.422,46.827,43.281,45.848,15042.72313455,1930
2021-07-24T00:00:00.0000000Z,45.969,51.702,45.203,49.656,17738.89343089,1177
2021-07-25T00:00:00.0000000Z,49.591,49.912,46.377,48.63,16563.77509928,818
2021-07-26T00:00:00.0000000Z,48.557,56.037,47.789,48.504,45420.40303516,2814
2021-07-27T00:00:00.0000000Z,48.405,50.4,46.245,49.584,18937.33883623,1215
2021-07-28T00:00:00.0000000Z,49.388,51.147,48.077,49.229,11551.89268281,907
2021-07-29T00:00:00.0000000Z,49.348,50.128,48.405,49.4,5047.20098609,494
2021-07-30T00:00:00.0000000Z,49.584,51.552,47.402,50.896,51656.4571286,1523
2021-07-31T00:00:00.0000000Z,50.683,52.266,49.691,51.323,19457.66769639,933
2021-08-01T00:00:00.0000000Z,51.198,53.979,49.408,50.34,22300.50590919,1558
2021-08-02T00:00:00.0000000Z,50.226,52.231,49.38,51.358,5902.29752304,650
2021-08-03T00:00:00.0000000Z,51.42,52.108,48.398,49.51,30929.41677025,1083
2021-08-04T00:00:00.0000000Z,49.492,52.237,48.493,51.568,15143.62572773,689
